objid,ra,dec,u,g,r,i,z
1.237651758285E+018,270.044057238265,0.042513473914007,24.10961,22.84031,21.83048,21.19915,20.28395
1.237651758285E+018,269.989480588848,0.060800441055575,23.35385,22.05048,24.85337,19.68622,22.89822
1.237651758285E+018,270.063956209545,0.010318497610466,27.08844,24.76998,23.64778,22.04367,21.4702
1.237651758285E+018,270.039115546408,0.053558628318044,24.5609,25.07267,22.39062,21.1076,22.8269
1.237651758285E+018,269.977760079844,0.062822874048369,24.22641,24.29858,23.74206,22.39477,23.11836
1.237651758285E+018,269.991173177383,0.066511623084395,23.24831,24.60076,22.41327,21.58902,21.23795
1.237651758285E+018,270.058882844223,0.038641610240242,24.00452,24.59575,22.9129,21.63071,21.96594
1.237651758285E+018,270.062145602243,0.033604502659673,23.7681,23.29227,21.77403,21.7278,22.53053
1.237651758285E+018,270.068255507764,0.026194205794436,23.01826,26.1593,23.49862,22.31407,23.35569
1.237651758285E+018,270.075069957122,0.010313724844751,24.55401,24.93655,22.26094,21.26458,20.49699
1.237651758285E+018,270.069440524479,0.030338990569505,25.9723,24.65504,22.39476,22.10133,21.61944
1.237651758285E+018,270.06784753493,0.037387176899067,24.97684,22.80342,22.04591,22.26565,22.40145
1.237651758285E+018,270.07543191207,0.019972054304375,24.16209,24.47024,24.44732,22.4999,23.32559
1.237651758285E+018,270.076556021542,0.024968324652527,25.04823,24.03924,22.995,21.41003,22.7569
1.237651758285E+018,270.078545702738,0.025228355303367,23.58294,23.73359,22.04366,21.76263,21.3545
1.237651758285E+018,270.066431371344,0.050139178086791,24.04057,24.62897,22.91822,22.16494,21.62644
1.237651758285E+018,270.059476629276,0.061487095414438,22.542,22.36738,21.07333,20.73987,20.0857
1.237651758285E+018,270.063051850994,0.058393845353924,24.63149,24.36724,21.6434,20.52155,19.96888
1.23765175828494E+018,269.913196914542,0.00457313127035,25.0354,24.6021,23.53951,21.48108,21.03485
1.237651758285E+018,270.073198938106,0.048833966782916,23.32544,23.50485,22.16853,21.5816,20.67702
1.237651758285E+018,270.072279618402,0.053055765412759,23.3088,22.53912,21.26364,20.59077,20.28183
1.237651758285E+018,270.089592010112,0.008692524125908,24.39443,22.81148,21.74069,21.88264,21.7673
1.237651758285E+018,270.083698606575,0.033155316962791,25.05225,24.6283,21.71968,20.18502,19.19475
1.237651758285E+018,270.037132521992,0.082343696246854,24.8797,24.90594,23.56563,21.91554,22.76521
1.237651758285E+018,270.072877547245,0.054651081256171,24.35556,23.73731,22.01763,21.32296,21.15639
1.23765175828493E+018,269.910030542062,0.014634186103587,24.87889,23.46114,21.60748,20.75976,20.28786
1.237651758285E+018,270.037576455205,0.083118740783529,24.32201,22.74517,21.96788,20.64993,20.06427
1.237651758285E+018,270.091676836419,0.000823634943672,22.71762,22.39145,21.35946,21.61814,22.35415
1.237651758285E+018,270.007589958024,0.091955238236926,24.63568,25.11672,24.80203,20.1285,22.82905
1.237651758285E+018,270.034766995349,0.085708231039953,25.88648,25.12259,22.39286,24.36031,22.83085
1.237651758285E+018,270.077099625981,0.051301860436565,24.32422,23.29492,21.52321,20.17017,19.27842
1.237651758285E+018,270.070368267415,0.061230214263096,24.67856,24.2176,22.65209,21.01883,20.46481
1.23765175828493E+018,269.907453259127,0.018057661894965,24.76628,25.86863,23.78642,21.68525,21.88637
1.23765175828494E+018,269.905619785006,0.001510569574475,26.27767,25.92803,23.30088,21.24811,20.61231
1.237651758285E+018,270.037684660028,0.086700984244333,26.81447,28.90735,27.72904,17.91192,26.00041
1.23765175828493E+018,269.90457959603,0.004609837577016,24.24192,23.47491,21.08711,20.26484,19.6031
1.23765175828493E+018,269.904492102785,0.003126846333988,23.46447,25.50504,22.40447,21.60152,21.13766
1.237651758285E+018,270.076775102931,0.058729451660995,25.15382,24.67547,24.33211,22.22882,22.32511
1.237651758285E+018,269.980053671605,0.095660330963581,25.67386,24.24364,23.00806,21.92624,21.83255
1.237651758285E+018,270.033146720244,0.092157665992349,25.57334,25.11586,21.29558,21.769,22.82833
1.237651758285E+018,270.093476663945,0.031362187973807,23.22552,22.3115,21.41533,20.87822,20.85095
1.23765175828494E+018,269.901315433113,-0.001295642611004,23.45654,23.40375,22.04066,21.70773,21.57019
1.237651758285E+018,270.098166307033,0.011674219264825,25.41514,25.17752,22.12181,21.19681,22.62668
1.23765175828494E+018,269.901148566522,0.001701470411695,26.5511,23.51508,22.92465,21.48772,21.20947
