ra_u,dec_u,fpeak_u,fint_u,designation,G_mag,R_mag,Jmag,Kmag,spectrum,redshift,Class,JNAME,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Hmag,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist
151.602615,-1.052128,1.26,1.02,J100624.70-010306.8,21.072999954223633,19.725000381469727,17.781,16.038,0,0.0,no_obs,J100624.70-010306.8,0.25,0.232,88.0,15.314,14.784,12.145,8.603,,151.602837,-1.051967,0.042,0.034,90.0,1237651799624188365,1,+,3,J100624.68-010307.0,*,68987912960,2000.3482,3,23.145,0.762,21.073,0.066,19.725,0.03,19.069,0.024,18.65,0.063,,,,0.30639,0.06269,0.29385,10.6,5.7,-1.3,5.7,0,,,,0.988092
151.690475,9.877616,2.37,2.66,J100645.72+095239.8,23.58173,21.95996,18.986,16.954,041514,-1.0,?,J100645.72+095239.8,0.236,0.218,90.0,15.118,14.569,11.996,8.787,,151.690444,9.877531,0.141,0.131,0.0,1237661919102239494,2,,3,J100645.70+095239.1,,281709388108104,2003.242,3,26.92,1.098,21.816,0.286,21.234,0.265,19.762,0.089,18.515,0.096,,,,,,,,,,,0,,,,0.325632
151.815781,-1.591861,1.17,1.03,J100715.73-013529.4,21.334999084472656,20.033000946044922,18.271,16.222,0,0.0,no_obs,J100715.73-013529.4,0.084,0.078,83.0,14.776,13.965,10.961,7.98,,151.815552,-1.591533,0.064,0.061,0.0,1237650805341421905,1,+,3,J100715.73-013529.5,,68988044032,2000.1734,3,21.867,0.326,21.335,0.094,20.033,0.046,19.43,0.041,19.098,0.097,,,,0.43824,0.07902,0.42871,,,,,0,,,,1.441294
151.847809,-1.669989,1.25,0.62,J100723.47-014010.0,22.777000427246094,21.402000427246094,18.475,16.61,0,0.0,no_obs,J100723.47-014010.0,0.097,0.091,93.0,14.93,14.244,10.896,7.997,,151.847779,-1.669786,0.056,0.05,90.0,1237654898457575921,2,,3,J100723.46-014011.2,,105622137864464,2001.2162,1,23.39,0.61,22.469,0.134,21.087,0.063,20.405,0.057,20.124,0.16,,,,,,,,,,,0,,,,0.737397
152.490326,7.636739,1.83,1.26,J100957.75+073812.5,20.235000610351562,19.174999237060547,17.081,14.959,040418,0.241,NLAGN?,J100957.75+073812.5,0.101,0.099,105.0,13.747,12.734,9.681,7.325,,152.490629,7.636802,0.018,0.018,0.0,1237658491730526392,1,+,3,J100957.75+073812.4,,105622104310288,2002.1936,3,21.959,0.27,20.235,0.027,19.175,0.017,18.599,0.015,18.21,0.035,,,,0.20063,0.03792,0.1976,-3.8,3.8,-1.2,3.8,0,,,,1.104392
152.840515,-2.699367,2.8,2.46,J101121.73-024156.6,22.569000244140625,21.016000747680664,18.927,16.93,0,0.0,no_obs,J101121.73-024156.6,0.541,0.487,85.0,16.213,15.618,12.346,8.502,,152.840492,-2.699379,0.074,0.074,90.0,1237654871072375364,1,+,3,J101121.71-024157.7,,35253360132368,2001.2135,3,23.824,1.031,22.569,0.198,21.016,0.07,20.409,0.061,19.625,0.112,,,,0.45298,0.07327,0.45021,,,,,0,,,,0.093423
152.858459,10.7054,1.16,0.97,J101125.96+104219.1,22.525999069213867,20.902999877929688,18.768,16.846,0,0.0,no_obs,J101125.96+104219.1,0.34,0.309,81.0,15.617,15.02,12.558,9.043,,152.85822,10.705417,0.087,0.082,90.0,1237660670353867489,1,+,3,J101125.97+104219.5,,68987912960,2002.9528,3,24.358,1.686,22.526,0.222,20.903,0.09,19.995,0.065,19.453,0.168,,,,0.50412,0.03144,0.50259,,,,,0,,,,0.848165
153.410507,-0.744742,2.18,2.1,J101338.49-004441.3,22.2,22.2,18.666,16.384,0,0.0,no_obs,J101338.49-004441.3,0.123,0.117,91.0,14.273,12.854,9.934,7.872,,153.410456,-0.744829,0.187,0.118,0.0,1237654669200195923,2,,3,J101338.50-004441.3,,35255507484944,2001.1455,3,23.815,1.94,23.474,0.671,20.995,0.111,20.113,0.079,19.502,0.181,,,,,,,,,,,0,,,,0.363327
153.814835,4.884483,264.26,282.35,J101515.54+045305.1,22.652000427246094,21.384000778198242,18.864,16.941,GNIRS,0.0,no_obs,J101515.54+045305.1,0.323,0.291,84.0,15.74,14.646,11.833,8.665,,153.814814,4.884735,0.043,0.034,90.0,1237654602101948909,1,+,3,J101515.55+045305.0,,68987912960,2001.1397,3,23.782,0.691,22.652,0.151,21.384,0.062,20.705,0.053,20.201,0.12,,,,0.47003,0.09575,0.47468,,,,,0,,,,0.91068
153.982483,-1.741586,2.04,1.45,J101555.77-014429.8,22.9024,22.47054,18.853,16.98,GNIRS,0.0,no_obs,J101555.77-014429.8,0.242,0.218,76.0,16.318,15.358,11.973,8.626,,153.982401,-1.741657,0.104,0.101,0.0,1237654872146641357,1,,6,J101555.77-014429.9,,281543964754176,2001.2135,3,25.643,0.78,22.902,0.179,22.471,0.225,21.244,0.11,20.59,0.234,,,,,,,,,,,0,,,,0.391077
