counter,RA,DEC,G_mag,R_mag,J_mag,K_mag,W1mag,W2mag,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class,U_mag,I_mag,Z_mag
227,23:49:46.64,+00:04:58.2,23.916,22.1409,19.628986,18.879122,17.924667,18.002878,7.272080680847169,5.620547275543213,-999.0,-999.0,-999.0,0,none,24.52,20.736,19.736
128,22:24:20.46,+00:50:38.2,23.1191,21.7331,19.261927,17.068174,18.27231,17.830782,4.281076641082764,,-999.0,-999.0,-999.0,0,none,,,
163,22:56:40.07,-00:53:15.9,23.3758,21.4325,19.669353,18.797338,19.283978,19.277096,4.993805717468262,5.603035789489747,-999.0,-999.0,-999.0,Gemini,none,24.292,21.015,20.306
38,00:34:44.86,-00:48:56.2,22.9673,21.5015,19.727467,18.213379,17.300392,16.852503,3.6883127059936527,3.4520430335998538,-999.0,-999.0,-999.0,0,none,24.959,20.649,20.006
19,00:17:48.72,-00:14:51.5,22.6335,21.3365,19.661568,18.533945,18.027304,18.096281,5.301948806762695,5.078486171722412,-999.0,-999.0,-999.0,0,none,25.489,20.342,19.921
212,23:40:15.28,-00:10:33.7,21.7893,21.3575,19.04834,17.986286,17.640783,17.40266,6.271071659088135,5.134940311431885,4.81,-999.0,-999.0,0,none,22.986,20.683,20.078
188,23:24:31.24,+00:43:17.3,22.8844,21.4918,19.943657,18.828064,19.434258,19.292433,5.428447002410889,4.599936447143555,-999.0,-999.0,-999.0,0,none,22.88,21.048,20.47
63,01:52:52.36,+00:25:08.0,22.7449,21.1878,19.34337,18.539125,18.166182,18.034271,,,-999.0,-999.0,-999.0,0,none,24.484,20.534,20.024
190,23:26:03.07,+00:45:33.4,22.7989,21.0463,19.06826,18.087446,17.383953,17.210388,8.44454168701172,7.967036933898926,-999.0,-999.0,-999.0,0,none,24.099,20.257,19.528
166,23:00:57.18,+00:03:07.5,22.7111,22.5785,19.406677,18.01242,17.048405,16.385134,5.702874938964844,3.5495301475524905,-999.0,-999.0,2,TSPEC082918,QSO?,22.225,22.06,20.003
165,23:00:34.41,-00:16:18.2,23.1933,22.0836,19.83673,18.325249,17.09672,16.57262,4.863909381866455,4.549232105255127,-999.0,-999.0,-999.0,0,none,23.666,21.477,20.386
226,23:49:20.89,+00:01:44.5,23.6576,22.1485,19.63071,18.885256,18.376717,18.006044,3.3819986000061038,3.3307719612121582,-999.0,-999.0,-999.0,0,none,25.912,21.026,20.566
70,01:57:17.03,-00:42:59.1,23.0052,21.752,19.505253,18.617168,17.698195,17.794424,7.150025596618653,6.049961437225342,-999.0,-999.0,-999.0,NIRES092218,none,22.868,20.737,20.454
198,23:30:05.56,-01:03:50.4,23.675,21.6209,19.594645,18.886896,19.085066,19.128284,3.796515403747559,4.2246232566833495,-999.0,-999.0,-999.0,0,none,22.738,20.305,19.665
232,23:54:44.62,+00:39:54.4,23.0312,22.0909,19.848028,18.853582,17.807272,17.680412,4.764592529296875,5.3029945335388184,-999.0,-999.0,-999.0,0,none,24.916,21.635,20.184
242,23:59:19.39,+00:05:31.7,23.0784,21.6486,19.888184,18.824001,18.114698,17.913889,3.4366226234436037,3.7612318496704105,-999.0,-999.0,-999.0,0,none,22.965,20.645,20.14
229,23:51:25.29,-00:06:12.4,23.3304,22.4066,19.302832,18.310598,18.078878,17.900877,4.28081530380249,2.6554177036285402,-999.0,-999.0,-999.0,0,none,25.541,21.911,21.689
151,22:47:00.72,+00:43:39.9,22.9215,21.1824,19.308329,18.34663,18.65688,18.689234,4.56334582901001,5.043202617645264,-999.0,-999.0,-999.0,0,none,25.372,20.159,19.669
195,23:27:38.81,-00:20:26.7,22.1651,20.923,19.394022,18.17455,17.603346,17.259592,4.683309837341309,4.0813979644775396,-999.0,-999.0,-999.0,0,none,22.289,20.241,19.75
199,23:30:27.35,-00:41:00.8,23.2681,22.2314,19.529284,17.825876,16.126738,15.644488,3.914127376556397,5.229029663085938,-999.0,-999.0,-999.0,0,none,22.438,21.59,20.77
146,22:44:24.48,+00:38:14.0,22.8212,21.7656,19.700924,18.680605,19.067896,19.115528,3.6548585128784183,4.500619216918945,-999.0,-999.0,0,NIRES092218,star,21.856,19.746,19.322
85,02:05:03.70,-00:03:25.4,22.6001,21.6243,19.601007,18.88011,18.199638,17.766153,4.121124629974365,3.288954219818115,26.39,19.23,-999.0,0,none,23.421,20.735,20.416
108,22:12:25.31,-00:19:07.9,23.2905,21.5276,19.958334,18.779768,18.910446,18.82611,3.852969165802002,5.054963550567627,-999.0,-999.0,999.0,NIRES080218,??,24.559,20.936,20.743
83,02:04:28.27,+00:29:13.4,23.1015,21.9574,19.898903,18.881916,18.236177,18.039913,3.8550598640441898,3.5064060974121096,-999.0,-999.0,-999.0,0,none,24.231,21.304,20.653
65,01:54:00.58,+00:31:12.6,24.8057,23.7166,19.977674,18.204708,20.090279,20.055918,3.5709616928100587,3.1896373672485354,-999.0,-999.0,-999.0,Gemini,none,25.206,23.542,21.92
60,01:50:57.64,+00:33:43.0,22.7847,21.6376,19.890991,18.848858,18.083433,17.689007,4.6373106994628905,4.882204879760742,-999.0,-999.0,-999.0,0,none,23.554,20.516,19.988
