RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,SPEC_Z,SPEC_CLASS
25.02303123,-0.551661551,23.145237,23.048115,22.225023,21.840313,21.106014,20.60014,20.295069,19.95266,18.812227,18.61359,0.74682,GALAXY
24.37146759,-0.118603215,,23.901083,22.22425,21.2131,20.58097,20.145344,19.979033,19.159088,19.36198,19.654049,0.664251,GALAXY
11.00774088,0.909826408,23.962063,22.68903,22.214493,21.883434,21.607044,20.777697,20.742868,,20.61909,20.314665,2.74,GALAXY
15.43142509,0.506510317,22.597775,22.721674,22.189903,21.44398,20.76094,,,19.680927,18.461014,18.362986,0.967517,GALAXY
28.07571727,1.056616317,24.48946,23.240597,22.189842,21.326857,20.755104,20.365438,20.115265,20.055307,,,0.57,GALAXY
352.6131897,-0.684103251,24.46499,22.877663,22.188723,21.37621,20.558401,19.32334,18.71606,17.730015,16.126673,15.644422,0.783,GALAXY
27.65896606,-0.236437127,23.526724,22.657936,22.188078,21.57145,21.461788,21.426142,21.064888,20.81724,20.137041,19.674582,0.73966813,GALAXY
19.11276245,0.162106097,22.998198,22.986835,22.174395,21.469717,21.022154,21.214348,20.633265,20.313076,19.502136,19.583282,0.678476,GALAXY
352.9223328,0.174748614,22.9632,22.4214,22.147,22.0562,21.667,,,,20.266825,20.252516,0.09316953,GALAXY
16.5437088,-0.13979581,23.758554,22.557362,22.139336,21.47909,21.443422,21.318838,20.588455,20.43146,19.39563,19.118986,0.5849845,GALAXY
21.84856033,0.323770404,22.8948,22.4362,22.1283,21.9251,21.9654,,,,20.042755,19.573196,1.3964,GALAXY
15.39315033,0.346096039,23.9292,22.7927,22.1178,21.6044,21.1822,,,,19.95463,19.966835,0.69698,GALAXY
15.27233124,-0.322161645,24.603586,23.1567,22.0929,21.24694,20.623213,20.20455,19.663733,19.783838,18.905819,19.24385,0.707571,GALAXY
352.2824402,0.294553012,24.088371,23.407911,22.085695,20.802547,20.329079,19.648634,19.377232,19.005133,18.712936,18.577396,0.79139805,GALAXY
