counter,RA,DEC,G_MAG_AB,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,Fpk,Hpk,redshift,specObjID,class,JNAME,ra_x,dec_x,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,angDist,RAdeg,DEdeg,errHalfMaj_x,errHalfMin_x,errPosAng_x,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,zph,e_zph,avg_zph,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,spType,spCl,subClass,angDist_x
198,352.522997,-1.064127,23.675,21.6209,20.191742,19.594645,19.243488,18.886896,19.085066,19.128284,4.080354,2.0262544,0.7077483,2.7340026,-999.0,-999.0,-999.0,0,none,J233005.51-010350.8,352.522997,-1.064127,0.402,0.368,116.0,15.895,15.689,12.424,8.853,,,,0.067,0.169,,,,,,3524001601241024105,0,0,1nnn,ABUU,,0.762318,352.523022,-1.064047,0.087,0.074,0.0,1237660024500454107,2,,3,J233005.52-010350.5,*,475064453693968,2002.777,3,25.868,0.877,23.398,0.397,21.271,0.089,20.189,0.047,19.583,0.102,,,,,,,,,,,0,,,,0.303374
199,352.613955,-0.683489,23.2681,22.2314,20.753023,19.529284,18.932806,17.825876,16.126738,15.644488,3.738817,2.7021158,1.7034081,4.405524,-999.0,-999.0,-999.0,0,none,J233027.34-004100.5,352.613955,-0.683489,0.094,0.092,147.0,13.722,12.301,9.724,7.548,,,,0.027,0.025,0.044,0.146,,,,3524100001241001334,0,0,0,AAAB,,0.241308,352.613944,-0.683519,0.161,0.121,90.0,1237659754440557334,2,,3,J233027.34-004100.6,,422281453110016,2002.6785,1,22.843,0.617,23.252,0.344,22.493,0.284,21.485,0.17,20.645,0.272,,,,,,,,,,,0,,,,0.113775
200,352.708076,0.838984,23.5168,21.3072,20.206676,19.65708,18.99095,18.608528,18.662817,18.742205,3.85972,1.6501195,1.0485514,2.6986709,-999.0,-999.0,-999.0,NIRES092318,none,J233049.93+005020.3,352.708076,0.838984,0.316,0.294,132.0,15.556,15.05,12.595,9.002,,,,0.055,0.108,0.523,,,,,3524101501241001696,0,0,01nn,AACU,,0.58397,352.708112,0.839011,0.106,0.1,0.0,1237646574793851570,2,,3,J233049.94+005020.4,*,68987912448,1998.8779,3,25.902,1.355,21.828,0.205,20.41,0.087,19.87,0.086,18.776,0.122,,,,,,,,,,,0,,,,0.164297
201,352.728701,0.949116,23.3269,21.59,20.255287,19.866182,19.098785,18.762281,18.960617,18.887865,3.460718,1.7238176,1.1039008,2.8277183,-999.0,-999.0,-999.0,0,none,J233054.88+005656.8,352.728701,0.949116,0.482,0.443,129.0,16.045,16.64,12.55,9.152,,,,0.077,0.428,,,,,,3524101501241001809,0,0,0nnn,ACUU,,0.336416,352.7287,0.949122,0.174,0.165,0.0,1237666650029228405,2,,3,J233054.88+005656.8,*,316730484330768,2004.8438,3,25.432,1.697,24.986,1.324,21.365,0.141,20.587,0.114,20.705,0.488,,,,,,,,,,,0,,,,0.021776
202,352.888305,-0.137701,23.0142,21.3127,19.323694,19.105051,18.566893,17.942284,16.987457,16.546293,3.909149,2.207649,1.1627673,3.3704162,-999.0,-999.0,-999.0,0,none,J233133.19-000815.7,352.888305,-0.137701,0.13,0.124,116.0,14.456,13.173,10.414,8.519,,,,0.033,0.033,0.073,0.34,,,,3524100001241015663,0,0,111n,AAAB,,0.264164,352.888317,-0.13773,0.085,0.081,0.0,1237666661301682840,2,,3,J233133.19-000815.8,*,68987912448,2004.8465,3,23.2,0.618,22.878,0.21,21.292,0.089,20.018,0.043,19.402,0.097,,,,,,,,,,,0,,,,0.112417
203,353.280875,0.918428,22.8613,21.6184,20.593056,20.108574,19.40683,18.839222,18.514269,18.550991,2.7527254,1.5098264,1.2693518,2.7791781,-999.0,-999.0,-999.0,0,none,J233307.41+005506.3,353.280875,0.918428,0.38,0.347,134.0,15.78,15.457,11.391,9.074,,,,0.066,0.16,0.177,,,,,3539101501241006156,0,0,1nnn,ABBU,,0.162322,353.280877,0.918416,0.524,0.157,0.0,1237667105277477281,2,,3,J233307.41+005506.2,*,217164284160,2004.9448,2,25.634,1.08,22.541,0.183,21.76,0.175,20.891,0.138,19.995,0.209,,,,,,,,,,,0,,,,0.044065
204,353.951763,-0.232697,22.9896,21.5389,20.357712,19.81245,19.404608,18.87862,18.787828,18.653955,3.1771486,1.7264497,0.93383014,2.6602798,-999.0,-999.0,-999.0,0,none,J233548.42-001357.7,353.951763,-0.232697,0.637,0.594,125.0,16.662,15.648,12.248,9.051,,,,0.116,0.173,,,,,,3539100001241010527,0,0,0nnn,BBUU,,0.804743,353.95193,-0.232769,0.344,0.13,0.0,1237666648419140167,2,,3,J233548.46-001357.9,,281543964623104,2004.8438,2,21.889,0.438,22.85,0.421,21.011,0.136,20.344,0.117,19.926,0.306,,,,,,,,,,,0,,,,0.65633
205,354.090632,0.873645,22.497,21.4211,20.189142,19.430565,18.993237,18.190762,17.257559,16.97206,3.0664346,1.9905355,1.2398032,3.2303386,-999.0,-999.0,-999.0,0,none,J233621.75+005225.1,354.090632,0.873645,0.155,0.147,133.0,14.677,13.681,10.605,7.823,,,,0.035,0.043,0.087,0.162,,,,3539101501241002957,0,0,000n,AAAB,,0.147146,354.090627,0.873617,0.046,0.043,90.0,1237663716548608571,2,,3,J233621.75+005225.0,*,96972308808,2003.8745,3,24.05,0.963,22.549,0.131,21.588,0.082,20.71,0.057,19.936,0.119,,,,,,,,,,,0,,,,0.10139
206,354.282351,-0.195921,23.324,21.6017,20.316574,20.00307,19.204714,18.724482,18.995108,19.043505,3.3209283,1.5986288,1.2785891,2.8772178,-999.0,-999.0,-999.0,0,none,J233707.76-001145.3,354.282351,-0.195921,0.43,0.397,129.0,16.013,15.437,11.865,8.919,,,,0.074,0.148,,,,,,3539100001241011695,0,0,00nn,ABUU,,0.230929,354.28236,-0.195954,0.084,0.067,90.0,1237663461535122012,2,,3,J233707.76-001145.4,*,2313175433544,2003.7951,3,24.815,1.497,23.085,0.32,21.207,0.086,20.546,0.073,20.003,0.196,,,,,,,,,,,0,,,,0.123091
208,354.519071,0.87028,23.7703,21.8756,20.20495,19.414211,18.533905,17.883938,16.502172,16.138258,4.356088,2.4613893,1.5302743,3.9916635,-999.0,-999.0,-999.0,0,none,J233804.57+005213.0,354.519071,0.87028,0.106,0.102,137.0,14.067,12.8,10.105,7.957,,,,0.029,0.027,0.054,0.169,,,,3539101501241000048,0,0,000n,AAAB,,0.141389,354.519062,0.870288,0.153,0.099,0.0,1237663480341791510,2,,3,J233804.57+005213.0,*,281709320864512,2003.798,3,24.222,2.225,23.49,0.677,21.732,0.205,20.334,0.09,19.343,0.138,,,,,,,,,,,0,,,,0.045406
