counter,RA,DEC,G_MAG_AB,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class
84,02:04:50.82,+00:04:41.0,22.6148,21.0828,20.213615,19.535616,18.97197,18.428946,18.410091,18.439005,3.0791833,1.5471838,1.1066703,2.653854,5.911179256439209,5.5303776054382325,-999.0,-999.0,-999.0,Gemini18B,none
50,00:50:20.57,-00:25:48.4,22.78,21.1146,19.916998,19.537792,18.88238,18.449102,18.361729,18.370527,3.2422082,1.5768068,1.0886897,2.6654963,5.232427425384522,4.838296440124512,-999.0,-999.0,-999.0,0,none
6,00:00:46.11,-00:32:03.2,22.7765,21.1863,19.772924,19.500998,18.896547,18.531534,18.9445,18.713732,3.275503,1.6853025,0.9694632,2.6547656,4.504539653778076,4.317667636871338,-999.0,-999.0,-999.0,0,none
52,00:52:04.54,+00:19:52.8,22.1481,20.9057,19.13795,19.150032,18.646292,18.090773,17.164408,16.80752,2.9980676,1.7556684,1.0592593,2.8149276,3.6828238677978518,4.052125545501709,-999.0,-999.0,-999.0,0,none
26,00:21:42.95,-00:06:07.2,22.9102,21.4839,20.649193,19.832794,19.161688,18.693705,18.775902,18.722273,3.0774057,1.6511056,1.1390895,2.790195,8.126988945007325,5.427924705505371,-999.0,-999.0,2.1,NIRES092318,QSO
213,23:40:47.19,-00:33:05.1,22.7686,21.1931,20.181984,19.57212,18.883665,18.394823,18.40211,18.415436,3.1964796,1.6209791,1.1772975,2.7982764,6.4268426513671875,6.703883583068848,-999.0,-999.0,-999.0,0,none
176,23:10:52.68,-00:38:12.1,22.7125,21.4982,20.241413,19.782381,19.498589,18.881065,19.627443,19.593887,2.9301183,1.7158182,0.90131557,2.6171336,5.397083885192871,5.273722492218018,-999.0,-999.0,-999.0,0,none
118,22:19:28.51,+00:57:19.3,22.6611,21.0888,19.972645,19.292482,18.664204,18.172895,18.434444,18.312239,3.3686178,1.7963178,1.1195868,2.9159045,4.739763977050782,4.572754726409912,-999.0,0.41,999.0,TSPEC082918,??
106,22:10:36.79,-00:57:17.2,22.1284,20.4083,19.101992,18.615494,18.24469,17.727022,17.180386,16.917213,3.5129068,1.7928064,0.88847244,2.6812787,6.67330485534668,8.453950584411622,-999.0,0.31,999.0,TSPEC082818,??
73,01:57:59.67,-00:42:38.6,22.4548,21.1398,19.75863,19.330526,18.873207,18.43902,18.770966,18.723246,3.124273,1.8092725,0.8915061,2.7007785,4.292576614379883,5.534820716857911,-999.0,-999.0,-999.0,Gemini18B,AGN
40,00:36:13.06,-00:52:30.9,23.5897,21.8578,20.31352,19.822058,19.249277,18.864023,19.327871,19.262728,3.7676427,2.0357416,0.9580344,2.9937758,5.993507675170899,4.638617385864258,-999.0,-999.0,-999.0,0,none
185,23:23:36.35,+00:12:05.8,23.0964,21.5583,20.0404,19.858252,19.233782,18.892618,18.469349,18.516819,3.2381475,1.7000482,0.9656333,2.6656814,3.4708608283996583,4.589220108032227,-999.0,-999.0,-999.0,0,none
45,00:47:16.57,+00:22:49.6,22.5392,21.1434,19.91221,19.479342,18.916168,18.47449,18.79018,18.857439,3.059858,1.6640584,1.0048522,2.6689105,5.271631038665772,3.9873082351684572,-999.0,-999.0,-999.0,Gemini18B,QSO??
135,22:28:35.29,-00:39:35.4,22.8392,21.7639,20.312128,19.699232,19.439983,18.732332,17.176493,16.81226,3.1399667,2.0646684,0.96689975,3.031568,5.050259479522706,6.011279743194581,-999.0,-999.0,-999.0,NIRES092218,none
243,23:59:41.10,-00:06:24.9,21.9948,21.9932,20.402294,19.903374,18.932192,18.458908,17.99646,17.593521,2.0914266,2.0898263,1.4444655,3.5342917,4.9815217323303225,3.2408640060424805,-999.0,-999.0,-999.0,Gemini18B,none
39,00:35:34.68,-00:21:06.6,22.7201,21.6114,19.96295,19.662773,19.345064,18.798473,18.160852,18.1016,3.057327,1.9486272,0.86429965,2.8129268,4.201100635528564,3.7803109817504885,-999.0,-999.0,-999.0,0,none
34,00:26:16.07,+00:30:17.1,22.7666,21.6697,20.304832,20.140182,19.317274,18.841904,17.98598,17.808239,2.626417,1.5295179,1.2982787,2.8277965,4.8456142616271975,4.927943058013916,-999.0,-999.0,-999.0,0,none
78,01:59:55.13,-00:51:17.4,23.4811,21.598,20.37697,20.087072,19.343431,18.828447,18.016905,17.624575,3.3940275,1.510927,1.2586249,2.7695518,4.6861845474243164,6.807382965087891,-999.0,-999.0,-999.0,0,none
192,23:26:27.92,-00:51:45.3,22.8124,21.2038,19.911064,19.69192,19.166407,18.557207,18.390116,18.451147,3.1204813,1.5118806,1.1347121,2.6465926,6.115823719024658,6.499239120483399,-999.0,-999.0,-999.0,0,none
121,22:20:39.14,+00:03:03.2,23.4369,22.0153,20.536144,20.005934,19.507166,18.762663,17.784386,17.775654,3.4309652,2.0093668,1.2432708,3.2526374,7.548598937988282,6.3134120750427245,-999.0,-999.0,-999.0,0,none
