ra,dec,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,zsp,spCl
219.8746389,8.9795452,20.96,0.084,20.613,0.027,19.472,0.015,18.345,0.01,17.715,0.016,16.041,0.074,15.174,0.071,14.548,0.095,13.105,0.024,11.602,0.021,8.363,0.02,6.364,0.048,1.759,redQSO
222.039727,5.6720161,20.322,0.068,19.48,0.016,18.403,0.009,18.24,0.011,17.492,0.021,16.244,0.1,15.296,0.099,14.18,0.073,12.698,0.023,11.456,0.021,8.342,0.022,5.633,0.036,0.28284,redQSO
223.1554289,8.8488092,21.958,0.234,19.983,0.019,18.497,0.009,18.006,0.009,17.117,0.015,15.918,0.089,14.943,0.086,14.14,0.081,12.317,0.023,11.114,0.021,8.042,0.02,5.917,0.042,0.307,redQSO
224.5429918,6.5776411,22.78,0.485,20.714,0.041,19.189,0.017,18.645,0.016,18.063,0.032,17.134,0.217,15.525,0.127,14.219,0.085,11.961,0.023,10.76,0.02,8.436,0.021,6.159,0.049,0.337,redQSO
225.0559186,12.6125616,21.446,0.176,20.266,0.032,19.238,0.02,18.506,0.018,17.97,0.043,16.805,0.162,15.908,0.173,14.61,0.092,13.036,0.024,11.695,0.021,8.76,0.024,6.317,0.05,0.407,redQSO
225.9862454,12.9873074,20.398,0.065,19.455,0.014,18.21,0.008,17.684,0.007,17.491,0.018,16.129,0.089,15.607,0.135,14.505,0.089,13.354,0.024,12.401,0.023,9.634,0.04,6.732,0.073,0.22,redQSO
225.9881103,4.3156455,20.877,0.091,19.742,0.018,18.679,0.011,18.168,0.011,17.62,0.021,16.439,0.126,15.593,0.105,14.439,0.103,12.873,0.022,11.665,0.021,8.864,0.026,6.419,0.055,0.405,redQSO
226.9421393,9.625342,20.115,0.044,19.129,0.01,17.913,0.007,17.371,0.006,17.031,0.011,15.752,0.055,14.881,0.078,14.125,0.074,12.754,0.023,11.402,0.021,8.512,0.021,6.105,0.045,1.274,redQSO
227.0217781,14.1459636,20.178,0.04,19.203,0.011,18.304,0.008,17.958,0.008,17.53,0.014,15.866,0.066,15.372,0.09,14.66,0.08,13.167,0.024,11.981,0.022,9.453,0.036,7.203,0.086,0.90936,redQSO
230.7318531,3.0363372,21.186,0.136,19.601,0.016,18.419,0.009,17.803,0.008,17.567,0.019,16.31,0.105,15.115,0.101,13.897,0.064,12.41,0.023,11.365,0.02,8.742,0.022,6.615,0.055,0.223,redQSO
233.0263081,6.2772517,20.828,0.063,19.344,0.011,18.591,0.009,18.066,0.008,17.56,0.016,16.413,0.129,15.276,0.09,14.497,0.111,12.499,0.023,11.359,0.021,8.939,0.027,6.691,0.06,0.42301,redQSO
233.3924799,7.58491,25.162,1.851,22.656,0.253,20.841,0.078,19.521,0.041,18.51,0.063,16.98,0.232,15.824,0.147,14.443,0.111,13.27,0.024,11.943,0.023,8.419,0.021,6.235,0.05,0.785,redQSO
235.5958365,12.9870419,23.962,0.627,23.958,0.298,21.599,0.066,20.887,0.056,19.824,0.086,16.251,0.103,15.267,0.099,14.53,0.1,13.723,0.026,12.976,0.027,10.051,0.047,7.507,0.139,2.52,redQSO
237.7616132,8.7336729,25.314,0.636,22.457,0.112,20.652,0.029,19.551,0.018,18.548,0.027,16.707,0.147,15.423,0.106,14.142,0.071,13.37,0.026,12.16,0.024,8.781,0.027,6.606,0.064,2.511342,redQSO
238.5480284,10.2560425,22.248,0.333,20.622,0.032,19.034,0.013,18.338,0.011,17.599,0.02,16.445,0.151,15.531,0.153,14.111,0.07,12.52,0.023,11.588,0.021,9.368,0.036,6.952,0.091,0.31315,redQSO
238.733069,7.2355707,22.182,0.297,20.539,0.034,19.237,0.017,18.719,0.016,18.147,0.035,16.685,0.175,16.198,0.243,14.404,0.1,12.542,0.024,11.48,0.021,8.996,0.03,6.407,0.057,0.347,redQSO
239.7190962,15.5088072,19.465,0.031,18.591,0.008,17.596,0.006,17.191,0.006,16.604,0.01,15.417,0.062,14.365,0.06,13.539,0.044,11.988,0.024,11.09,0.02,8.809,0.027,6.478,0.064,0.26,redQSO
311.6087783,0.3937948,20.005,0.038,18.988,0.009,18.012,0.007,17.878,0.008,17.229,0.014,15.934,0.08,14.74,0.068,13.683,0.037,12.056,0.023,10.843,0.021,7.835,0.02,5.246,0.034,0.33203,redQSO
331.443069,0.8886953,21.265,0.129,19.548,0.016,18.143,0.008,17.587,0.007,16.976,0.013,15.787,0.069,14.608,0.083,13.352,0.041,11.967,0.024,10.822,0.021,7.962,0.021,5.569,0.04,0.28451,redQSO
334.1405222,-0.9143571,21.155,0.098,19.55,0.014,18.256,0.008,17.572,0.007,17.305,0.015,15.917,0.073,14.951,0.086,13.736,0.046,12.27,0.024,11.254,0.022,8.589,0.027,6.103,0.052,0.2,redQSO
