u,g,r,i,z,ra,dec,flags_r
25.981787,24.047098,22.644995,21.790909,20.924282,268.1827588,-0.69249086,4573968673538073
25.241856,22.936438,22.300949,21.227209,20.535679,267.67840445,-1.18266185,9007199397347585
25.036589,23.537157,23.144936,21.766598,20.097912,267.70636268,-1.23129451,134217729
23.502853,26.109102,22.2852,24.50548,22.46389,268.11292007,-1.0779574,6755674755170320
24.656511,24.947849,22.947048,23.923866,22.833233,268.11121212,-1.07420769,13511074196226096
24.771914,25.041479,22.504263,23.884247,22.650854,268.1157912,-1.08583827,4503874807267344
25.792517,25.709339,22.762762,25.898621,22.987789,268.10849814,-1.06625178,6755674629374224
23.891569,22.338331,21.429668,20.82412,20.992081,268.13931784,-1.12724623,2310346883987406864
24.512474,22.690048,21.837637,20.843212,20.226664,268.15331959,-1.15046681,4503874773712896
25.160221,24.754696,21.739008,20.913731,21.793579,268.20785509,-1.22707905,2312598683801124880
24.512102,24.819195,21.631453,20.745541,19.984661,268.72563574,-1.20979472,2312598408931607056
23.598478,22.881765,21.164652,19.922581,19.196384,268.76696595,-1.2547391,4573968640147473
24.693821,22.066351,22.070524,21.416355,21.304825,268.70924761,-1.18881473,4573968639983633
24.318085,25.202543,22.678635,21.197886,20.49576,268.74005937,-1.21464524,2310346883987406864
23.827709,23.12344,22.593262,22.110071,22.464163,268.73791385,-1.21241117,4573968673538065
26.305004,24.477549,24.114765,21.689352,22.2171,268.65889762,-1.12620635,2319424177116807441
25.09005,24.819313,22.219997,21.046827,20.488354,268.65568122,-1.13103371,4503874773712896
25.127243,25.80751,25.238098,22.055544,21.551188,269.07798508,-1.10005035,9008298901508125
21.258444,25.378706,24.240452,23.279568,20.307306,269.17206475,-1.17007541,142639377
24.094078,23.359301,21.873455,21.529814,21.689196,269.17720241,-1.17221777,2310346884130013712
24.904654,23.694139,21.784622,21.85511,21.68889,269.19915106,-1.18274068,6755674595786768
24.198944,26.385292,21.802067,22.560789,21.015831,269.11466395,-1.12071708,4503874773712896
23.805201,24.964771,21.195868,20.15099,19.750042,269.23075267,-1.20902643,2312598683801092112
24.36832,25.884699,24.9044,20.841528,21.478294,269.54811209,-1.04943578,9007199397380369
24.568743,22.737663,21.063162,20.412985,20.763044,269.56295124,-1.05417974,2312598683801092120
25.250536,22.858173,25.061275,21.40472,22.701262,269.84229532,-1.12645233,9007199423991833
24.514132,24.346382,22.258863,20.895716,20.941263,269.88565436,-1.1391132,2310416977853710353
25.123028,24.097364,24.753519,20.074125,18.826183,269.90544601,-1.13643156,9007199397515537
24.667656,24.887405,23.180546,21.7353,20.385618,269.90175322,-1.13290183,11258999236333593
24.980862,25.63751,21.535915,22.379948,21.761547,270.00575729,-1.14218783,2312598683801126160
24.960039,25.737785,22.201866,21.12709,22.156971,270.02352785,-1.14292827,4573968673538065
24.008451,23.135807,21.704439,21.144625,22.493156,270.1026142,-1.13904189,2312598683801092120
25.708429,23.909876,21.420107,20.347784,19.852669,270.07780435,-1.13742504,4503874782101760
23.437864,24.636829,22.049303,21.193378,18.487534,270.69334468,-1.25568144,692245
24.461153,25.901606,22.362883,21.550278,21.385176,270.90286036,-1.10791573,4503874807300112
23.486107,23.048399,21.217855,20.487925,20.292959,270.91619188,-1.09931409,6755674587398168
23.51984,23.395931,22.109327,21.228134,21.290154,270.92116219,-1.09162259,4503874782101776
24.879969,27.002825,23.3529,23.48946,20.961803,271.77411676,-1.25722221,4573968681926929
22.242344,23.285986,21.667027,20.469315,19.792526,271.77904008,-1.25538835,4661929603891216
24.702286,24.332766,21.841824,20.958126,20.703978,271.78081087,-1.2406954,49539871190056960
24.247084,24.229343,21.26409,20.205088,19.605042,271.81777814,-1.18734756,78813268625326096
25.357868,23.225983,23.005186,21.096663,21.852024,271.8244565,-1.17099197,2312668777675751697
22.960199,22.730742,21.02039,20.611778,20.367887,267.48795551,-0.68073024,4503599929524240
23.077024,23.56065,21.561148,21.022593,20.530342,267.48761493,-0.68290258,4503599929393168
24.189182,22.731236,21.960342,20.951252,21.883293,267.49512144,-0.70616133,4503599929393168
25.687021,24.134382,22.277393,20.859608,20.438213,267.49187195,-0.70433398,4573968673538065
25.176874,24.585209,22.49478,22.943697,21.351944,267.51595423,-0.7861768,4503599937749264
24.795807,25.339699,24.606173,21.853642,21.651686,267.51363059,-0.7737346,2314850208611172625
25.122896,24.907486,22.806145,21.361752,20.345335,267.48920827,-0.69260904,2310416977862066705
25.489046,24.322102,22.964609,21.724709,20.709084,267.48002877,-0.65927524,13581167894724625
24.125179,24.745693,23.470114,21.754322,21.709377,267.48150562,-0.65927979,33554449
23.517038,24.12125,22.079996,21.056023,20.346249,267.94046974,-0.71392435,4574243551576081
23.755417,24.501543,21.513414,20.002619,19.434036,267.95982909,-0.75307948,4573968640152089
24.417469,24.590179,23.234024,21.475599,20.61236,267.95976253,-0.74441181,2350879005487398929
24.585442,24.842323,22.460646,22.42473,22.044041,267.95517935,-0.7449168,4503874807267344
24.634699,25.114765,24.802195,19.215315,22.827215,267.96925153,-0.78739565,13510799293583664
24.1343,26.002207,21.968075,20.972441,20.259726,267.97704075,-0.79363597,4503874807267344
24.038578,24.568924,22.923147,21.730759,21.132687,267.97755356,-0.79607306,4573968673538073
25.581964,24.201212,22.317446,21.919876,21.74534,267.91489695,-0.63338608,6755674620985368
26.188366,25.579285,23.034649,21.51996,20.826242,267.92127853,-0.65022086,4574243551445009
24.040798,24.429369,22.128588,21.569611,20.942337,267.92149647,-0.64309386,4503874807398416
24.385859,22.56131,21.371819,20.774586,20.560427,267.92520646,-0.64935809,2312598683801092112
26.13279,24.040657,21.552929,20.96657,20.342506,267.92428576,-0.62979526,2312598683809480720
25.121435,23.417246,22.449745,21.968836,21.178286,267.93454205,-0.66090871,4503874815688976
24.343597,23.173203,22.012857,21.566837,21.325632,267.94820222,-0.7067102,4503874807300112
24.119247,23.645149,23.329781,21.851357,21.849747,267.959626,-0.76129012,2310416977862066449
24.917898,24.063219,22.620022,21.829655,20.702559,267.99150661,-0.83890925,4573968673538065
23.52758,22.417778,21.636877,21.022396,20.567429,267.91821156,-0.6436399,4503599895805952
24.220413,23.368711,22.484777,21.596146,21.204689,267.9204209,-0.63345157,2310346883987406864
22.995951,23.21365,22.111965,21.270475,21.398207,267.97905225,-0.80790848,4503874807267352
25.739744,22.219248,21.138725,20.64348,20.466747,267.99794247,-0.84045684,4662204448243712
26.057364,23.810293,21.759457,21.151104,20.756269,267.9790659,-0.8013657,4503874773712896
23.90917,23.815351,21.239801,20.579079,19.850733,267.98560587,-0.8318635,6755674587398160
23.626539,23.543905,22.23908,21.353649,20.504498,267.99029545,-0.83152909,4503874773712896
24.874876,22.786182,21.915894,21.368549,21.273508,267.99571467,-0.8311591,4503874773712896
24.127869,24.39246,22.893234,21.49366,21.138525,267.93928134,-0.69772135,1
24.130564,24.415648,23.29846,21.841406,22.389784,268.36793904,-0.6405921,42111249
25.106533,22.986879,21.79105,21.220079,22.019796,268.37753533,-0.67190665,6755674620952592
23.093863,24.527803,22.259115,21.372816,22.650511,268.46271579,-0.83571895,2310346883996320020
23.707041,23.424559,22.411348,21.529089,23.254013,268.36097786,-0.63442562,33554449
24.463831,23.158749,21.335968,21.037003,20.88719,268.38953589,-0.70878732,6755674620985360
24.589058,24.307066,22.498911,21.441751,21.060198,268.40137181,-0.73014005,4503874807267344
25.188477,24.631126,22.53573,22.538189,22.817223,268.39979658,-0.73070191,4503599929360408
24.80324,25.519529,22.488461,21.992138,21.214033,268.40438974,-0.73920738,4503874807267344
25.501238,24.017117,22.356285,22.542427,22.181938,268.40652008,-0.74088798,6755674629341720
25.642355,22.914179,21.024084,19.981855,19.284639,268.41523146,-0.75258369,2312598408923185168
24.407732,24.084053,21.636078,21.317917,20.698353,268.43030607,-0.78097351,2312598683809513488
23.701599,22.78039,22.04533,21.720818,21.076208,268.42525012,-0.78041543,2310346883995795728
25.341143,24.424986,24.870949,25.438049,20.107283,268.4393115,-0.79916717,2314850208611172625
24.051266,24.800205,22.613337,21.392187,20.375116,268.44238543,-0.80328134,2310346884121624592
22.77949,25.327408,21.888088,22.036409,21.535414,268.37750516,-0.66653516,6755674620952592
22.687052,22.050491,21.226578,21.004217,21.122911,268.40860274,-0.74738048,4503874773745664
25.372078,24.878868,23.075525,21.291485,20.444128,268.4502897,-0.82754476,2310416977853677585
24.734964,23.060781,21.812351,21.269796,21.155403,268.37144855,-0.6642589,4503874773712896
24.91688,23.37269,22.015223,20.893923,20.526875,268.37809068,-0.65949206,6755674620952592
23.583017,23.309,21.579683,20.976135,20.473722,268.37833178,-0.68053471,4503874782101760
23.437784,22.954416,21.660999,20.894264,19.906258,268.42580786,-0.78639562,4503874773712912
25.896515,23.660101,22.251446,22.132408,21.458447,268.43420404,-0.80206151,6755674620952592
24.071974,23.592482,21.443914,20.908344,20.320482,267.72051679,-1.20249794,2312598683801092112
24.599667,23.96982,22.629511,21.632406,21.772125,267.73130117,-1.22366737,4573968673538069
24.301628,22.681795,21.305458,20.798569,20.907534,267.74517771,-1.2477454,4503874807431184
25.040457,25.560982,24.300602,20.981852,20.152201,268.15326875,-1.09260264,2314850208476856593
23.871243,25.822817,22.789204,21.502892,22.297411,268.16443565,-1.12213729,4573968673538065
24.913916,24.842014,24.68729,21.373547,20.172472,268.13079086,-1.05683125,2317102008424759569
24.801941,24.677462,23.680534,21.324457,22.287271,268.20380373,-1.19238447,140737530728721
23.469921,25.117895,24.802492,24.362593,18.13336,268.22584396,-1.21774129,13510799293583664
25.085367,25.223688,21.156282,20.385645,20.042162,268.22997661,-1.22686858,4503874807267352
24.338715,23.520708,21.403692,20.539869,20.609085,268.20063115,-1.18266434,2312668777667395601
24.421394,23.509344,21.108479,20.431135,19.759317,268.56325801,-1.05738975,2312598683801092120
24.333231,22.336603,21.839573,20.360264,20.267605,268.56152736,-1.06477524,6825768495743249
21.782368,25.122553,24.841404,16.903536,19.237532,268.67013336,-1.20012891,13510799293583664
25.767778,25.689289,24.14625,21.645506,22.771852,268.66526916,-1.19537408,2319354083250536720
24.637955,25.119051,24.809795,18.517181,22.830662,268.70169764,-1.23038543,13510799293583664
21.659897,25.921101,25.977861,25.601116,22.724314,268.69899221,-1.22209247,11258999211032849
25.820385,25.150303,24.599611,24.231712,19.438156,269.0724276,-1.10500568,13510799294075188
24.499548,23.256989,21.497421,20.315159,19.666374,269.02309233,-1.06831612,2312598683801092112
