,RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,class
88,352.2824402,0.294553012,24.088371,23.407911,22.085695,20.802547,20.329079,19.648634,19.377232,19.005133,18.712936,18.577396,faint_Galaxy
158,25.704422,0.078159511,22.751493,22.172165,21.46924,21.00808,21.107145,20.92977,20.643044,20.57254,20.775167,21.067528,faint_Galaxy
165,15.09942245,-0.395507783,24.14525,22.479284,21.445738,20.497526,19.962597,19.48876,18.92247,18.514067,18.029177,18.096897,faint_Galaxy
202,333.7499084,0.471686274,24.198301,22.676228,21.129526,20.274288,20.066084,19.477247,19.21718,18.829994,18.571392,18.215052,faint_Galaxy
169,16.70029449,-0.524086654,23.986734,22.629261,21.417587,20.471455,19.997314,19.728817,19.294504,19.190445,18.790197,19.06587,faint_Galaxy
45,18.68797302,0.017069489,23.553547,23.052399,22.524181,21.957474,21.153715,20.055723,20.225523,19.399223,18.85233,18.976444,faint_Galaxy
99,18.85623932,-0.093253508,23.111538,22.603415,21.971867,21.252542,20.838047,20.37437,19.9784,20.170671,18.919092,18.416893,faint_Galaxy
139,352.8835754,0.160410717,22.482584,22.115528,21.671146,21.177176,20.569801,20.20952,20.147095,19.5723,19.02149,19.079237,faint_Galaxy
58,23.88964081,-0.254020452,24.412708,23.58053,22.3884,21.298302,21.026064,20.853876,19.93651,20.20179,19.74929,20.157665,faint_Galaxy
118,334.3001709,0.212308973,23.31637,22.589245,21.848932,21.105808,20.268808,20.173168,20.207815,19.700045,19.29038,19.326252,faint_Galaxy
200,18.73199654,0.171642706,26.054983,22.184954,21.131678,20.390188,20.138607,19.769403,19.546833,19.178392,18.734003,18.847797,faint_Galaxy
100,25.2312851,-0.335732937,23.97009,23.256207,21.969072,20.935408,20.64693,20.167006,19.97943,19.496038,19.582563,19.931753,faint_Galaxy
50,25.31049728,0.244910985,24.703054,23.142797,22.474756,21.724018,21.640135,20.871323,20.210579,20.43903,20.320095,20.54978,faint_Galaxy
176,19.28179169,0.457068145,22.637566,22.203337,21.36778,20.802546,20.663918,20.227045,19.88019,19.432922,19.732796,19.983437,faint_Galaxy
70,23.55678177,-0.025319774,24.298346,23.01576,22.309704,21.751947,21.20003,20.465012,20.907125,20.078579,19.426113,19.50175,faint_Galaxy
192,2.653477236,0.666190913,23.29146,22.389008,21.227602,20.598759,20.3342,19.940434,19.393154,19.237446,19.39883,19.238205,faint_Galaxy
157,25.68751144,-0.186684221,22.762623,22.250252,21.47382,20.599506,19.835941,19.704021,19.382133,19.026886,18.118599,18.498201,faint_Galaxy
56,20.03573608,-0.394688547,23.304993,23.05842,22.396706,21.81446,20.854498,20.271053,20.043344,19.53728,18.89601,18.866367,faint_Galaxy
116,17.28456879,-0.005245735,25.254808,23.30372,21.851698,21.121983,20.509975,19.988325,19.233139,18.869081,18.718159,18.620237,faint_Galaxy
111,24.86894035,0.192514896,24.098095,23.026827,21.86992,20.999054,20.404343,19.91603,19.670849,19.021902,19.178463,19.448536,faint_Galaxy
74,352.0429688,0.223695531,23.292526,23.125757,22.249325,21.922182,20.979856,20.303215,22.869122,20.183044,19.416405,19.18974,faint_Galaxy
42,26.38200188,-0.04659206,22.87333,22.956835,22.572792,21.804523,21.28924,20.757599,20.779415,20.407198,18.289024,17.905031,faint_Galaxy
181,26.3421154,0.100642718,24.970516,22.744453,21.342548,20.495243,20.082647,19.609653,19.413713,19.068735,19.22218,19.586117,faint_Galaxy
152,14.81288624,0.264595747,22.868986,22.537537,21.527218,20.68878,19.950361,19.353548,19.116508,18.683231,17.871004,17.713713,faint_Galaxy
136,20.87046242,-0.247683778,22.884708,22.542284,21.711464,21.174776,20.733387,20.676105,20.17203,19.813011,19.652077,19.49402,faint_Galaxy
193,16.07839203,-0.424120784,23.328007,22.074116,21.21841,20.787418,20.510406,20.18573,20.272678,19.428577,20.084778,20.094429,faint_Galaxy
113,25.34078217,-0.126110435,23.562206,22.672884,21.860733,20.87924,20.122803,19.888865,19.32674,19.028114,18.550163,18.748632,faint_Galaxy
205,359.7064209,-0.407199144,23.834366,22.20538,21.075941,20.46682,20.166842,19.814985,19.718348,19.147985,19.051998,19.050884,faint_Galaxy
114,25.49047852,-0.074619621,24.26012,22.924284,21.858238,21.072926,20.713217,20.468899,20.131453,19.848314,19.416306,19.773571,faint_Galaxy
73,20.64344788,-0.212423787,23.99407,23.019888,22.25859,21.319513,20.745033,20.525494,20.14713,19.613613,18.615498,18.243172,faint_Galaxy
103,27.40932846,-0.017409269,22.807487,22.290037,21.92649,21.168724,20.468704,20.020292,19.739552,19.516157,18.930477,19.188877,faint_Galaxy
187,26.76146317,-0.11107181,22.48943,22.055588,21.264603,20.496607,19.95082,19.661625,19.273603,18.79541,18.581387,18.86398,faint_Galaxy
613,334.6663818,-0.399832577,18.319489,16.774836,16.121796,15.723087,15.535601,15.837636,15.61856,15.654747,15.645438,15.924947,faint_Galaxy
359,16.51837158,-0.466345668,21.993584,20.991343,19.825512,19.0587,18.661436,18.424776,17.992245,17.81569,17.94926,18.153343,faint_Galaxy
465,17.09420013,0.195886105,22.08237,20.22677,18.979431,18.499022,18.17676,17.863968,17.637161,17.483147,18.0628,18.242947,faint_Galaxy
577,16.29393387,-0.159969136,21.068573,18.811474,17.375727,16.831062,16.517824,16.774826,16.51146,16.2892,16.429092,16.669584,faint_Galaxy
545,21.47205925,0.272998393,20.058031,18.799423,18.100979,17.657417,17.476238,17.13168,16.882666,16.67703,16.73473,16.762283,faint_Galaxy
558,19.53807068,0.125645638,19.972967,18.765736,17.792612,17.368124,17.074629,16.939209,16.72503,16.497175,17.05562,17.17625,faint_Galaxy
447,29.3049736,-0.987852335,20.654139,20.063673,19.143913,18.816128,18.562466,18.415129,18.091263,17.861668,17.844051,17.713306,faint_Galaxy
436,9.995327488,0.874619594,21.53703,20.201853,19.22118,18.804762,18.53619,18.18276,17.956139,17.9125,18.442944,18.772335,faint_Galaxy
513,351.9255981,-0.755192161,20.563997,19.814224,18.546522,18.695019,18.349201,18.039988,17.820406,17.549728,17.666416,17.444395,faint_Galaxy
340,21.39151764,-1.095520139,20.429686,20.062311,19.947273,19.611454,19.623667,19.553726,19.222395,18.920734,18.264978,17.995173,faint_Galaxy
666,18.20206642,-0.290434569,15.654995,13.834952,13.015623,12.584038,12.290326,12.898688,12.666692,12.765743,12.466808,13.004671,faint_Galaxy
292,15.14133453,-0.349735111,22.769382,21.753902,20.360197,19.602646,19.234642,18.658823,18.37172,18.174736,18.478281,18.526012,faint_Galaxy
