,data,RA,DEC,G_mag,R_mag,J_mag,K_mag,redshift,class,U_mag,I_mag,Z_mag,ug,ur,ui,uz,uj,uk,uw1,uw2,gr,gi,gz,gk,gw1,gw2,ri,rz,rw1,rw2,iz,ij,ik,iw1,iw2,zj,zk,zw1,zw2,jw1,jw2,kw1,kw2,w1w2,class_cleaned
55,red_QSO,235.5958365,12.9870419,23.958,21.599,16.250999999999998,14.53,2.52,redQSO,23.962,20.887,19.824,0.004000000000001336,2.3629999999999995,3.0749999999999993,4.137999999999998,7.711000000000002,9.432,10.238999999999999,10.985999999999999,2.358999999999998,3.070999999999998,4.133999999999997,9.427999999999999,10.234999999999998,10.981999999999998,0.7119999999999997,1.7749999999999986,7.8759999999999994,8.623,1.0629999999999988,4.636000000000003,6.357000000000001,7.164,7.911,3.573000000000004,5.294000000000002,6.101000000000001,6.848000000000001,2.527999999999997,3.274999999999997,0.8069999999999986,1.5539999999999985,0.7469999999999999,redQSO
56,red_QSO,237.7616132,8.7336729,22.457,20.652,16.707,14.142,2.511342,redQSO,25.314,19.551,18.548,2.8569999999999993,4.661999999999999,5.763000000000002,6.766000000000002,8.607,11.172,11.944,13.154,1.8049999999999997,2.9060000000000024,3.9090000000000025,8.315000000000001,9.087000000000002,10.297,1.1010000000000026,2.1040000000000028,7.282000000000002,8.492,1.0030000000000001,2.8439999999999976,5.408999999999999,6.180999999999999,7.390999999999998,1.8409999999999975,4.405999999999999,5.177999999999999,6.387999999999998,3.3370000000000015,4.547000000000001,0.7720000000000002,1.9819999999999993,1.209999999999999,redQSO
57,red_QSO,238.5480284,10.2560425,20.622,19.034,16.445,14.111,0.31315,redQSO,22.248,18.338,17.599,1.6260000000000012,3.214000000000002,3.91,4.649000000000001,5.803000000000001,8.137,9.728000000000002,10.660000000000002,1.588000000000001,2.283999999999999,3.0229999999999997,6.510999999999999,8.102,9.034,0.695999999999998,1.4349999999999987,6.513999999999999,7.446,0.7390000000000008,1.8930000000000007,4.227,5.818000000000001,6.750000000000002,1.154,3.4879999999999995,5.079000000000001,6.011000000000001,3.9250000000000007,4.857000000000001,1.591000000000001,2.5230000000000015,0.9320000000000004,redQSO
58,red_QSO,238.733069,7.235570699999999,20.539,19.237,16.685,14.404000000000002,0.347,redQSO,22.182,18.719,18.147,1.6429999999999971,2.9450000000000003,3.4629999999999974,4.035,5.497,7.777999999999997,9.639999999999999,10.701999999999998,1.3020000000000032,1.8200000000000003,2.392000000000003,6.135,7.997000000000002,9.059000000000001,0.5179999999999971,1.0899999999999999,6.6949999999999985,7.756999999999998,0.5720000000000027,2.0340000000000025,4.3149999999999995,6.177000000000001,7.239000000000001,1.4619999999999997,3.7429999999999968,5.604999999999999,6.666999999999998,4.142999999999999,5.204999999999998,1.8620000000000019,2.9240000000000013,1.0619999999999994,redQSO
59,red_QSO,239.7190962,15.508807199999998,18.591,17.596,15.417,13.539,0.26,redQSO,19.465,17.191,16.604,0.8739999999999988,1.8689999999999998,2.274000000000001,2.8610000000000007,4.048,5.926,7.477,8.375,0.995000000000001,1.4000000000000021,1.9870000000000019,5.052000000000001,6.6030000000000015,7.501000000000001,0.40500000000000114,0.9920000000000009,5.6080000000000005,6.506,0.5869999999999997,1.7739999999999991,3.6519999999999992,5.202999999999999,6.100999999999999,1.1869999999999994,3.0649999999999995,4.616,5.513999999999999,3.4290000000000003,4.327,1.5510000000000002,2.449,0.8979999999999997,redQSO
60,red_QSO,311.60877830000004,0.3937948,18.988,18.012,15.934,13.683,0.33203,redQSO,20.005,17.878,17.229,1.0169999999999995,1.9929999999999986,2.126999999999999,2.776,4.071,6.321999999999999,7.949,9.161999999999999,0.9759999999999991,1.1099999999999994,1.7590000000000003,5.305,6.932,8.145,0.13400000000000034,0.7830000000000013,5.956000000000001,7.1690000000000005,0.6490000000000009,1.9440000000000008,4.195,5.822000000000001,7.035,1.295,3.5459999999999994,5.173,6.385999999999999,3.878,5.090999999999999,1.6270000000000007,2.84,1.2129999999999992,redQSO
61,red_QSO,331.443069,0.8886953000000002,19.548,18.143,15.787,13.352,0.28451,redQSO,21.265,17.587,16.976,1.7170000000000023,3.122,3.678000000000001,4.2890000000000015,5.478,7.913,9.298,10.443000000000001,1.4049999999999976,1.9609999999999985,2.571999999999999,6.195999999999998,7.580999999999998,8.725999999999999,0.5560000000000009,1.1670000000000016,6.176,7.3210000000000015,0.6110000000000007,1.799999999999999,4.234999999999999,5.619999999999999,6.765000000000001,1.1889999999999983,3.6239999999999988,5.008999999999999,6.154,3.8200000000000003,4.965000000000002,1.3849999999999998,2.530000000000001,1.1450000000000014,redQSO
62,red_QSO,334.1405222,-0.9143571,19.55,18.256,15.917,13.736,0.2,redQSO,21.155,17.572,17.305,1.6050000000000004,2.899000000000001,3.583000000000002,3.8500000000000014,5.238000000000001,7.4190000000000005,8.885000000000002,9.901000000000002,1.2940000000000005,1.9780000000000015,2.245000000000001,5.814,7.280000000000001,8.296000000000001,0.684000000000001,0.9510000000000005,5.986000000000001,7.002000000000001,0.26699999999999946,1.6549999999999994,3.8359999999999985,5.302,6.318,1.388,3.568999999999999,5.035,6.051,3.6470000000000002,4.663,1.466000000000001,2.482000000000001,1.016,redQSO
0,GALAXY,3.7658917,-0.6243238,18.007,17.357,16.889,15.57,,GALAXY,19.237,16.93,16.684,1.2299999999999969,1.879999999999999,2.3069999999999986,2.5529999999999973,2.347999999999999,3.666999999999998,5.0059999999999985,5.738999999999999,0.6500000000000021,1.0770000000000017,1.3230000000000004,2.437000000000001,3.7760000000000016,4.509000000000002,0.4269999999999996,0.6729999999999983,3.1259999999999994,3.859,0.24599999999999866,0.04100000000000037,1.3599999999999994,2.699,3.4320000000000004,-0.2049999999999983,1.1140000000000008,2.453000000000001,3.1860000000000017,2.6579999999999995,3.391,1.3390000000000004,2.072000000000001,0.7330000000000005,GALAXY
1,GALAXY,4.4239642,0.1312115,16.673,16.008,15.902,14.561,,GALAXY,18.202,15.606,15.348,1.5290000000000035,2.1940000000000026,2.596000000000002,2.854000000000001,2.3000000000000025,3.641000000000002,5.346000000000002,6.635000000000002,0.6649999999999991,1.0669999999999984,1.3249999999999975,2.1119999999999983,3.8169999999999984,5.105999999999998,0.40199999999999925,0.6599999999999984,3.1519999999999992,4.440999999999999,0.2579999999999991,-0.2959999999999994,1.045,2.75,4.039,-0.5539999999999985,0.7870000000000008,2.492000000000001,3.7810000000000006,3.0459999999999994,4.334999999999999,1.705,2.9939999999999998,1.2889999999999997,GALAXY
2,GALAXY,5.2542864,0.880006,17.368,17.499,16.826,15.351,,GALAXY,17.569,16.942,17.468,0.2010000000000005,0.07000000000000028,0.6269999999999989,0.10099999999999909,0.7429999999999986,2.217999999999998,3.5619999999999994,4.603,-0.13100000000000023,0.4259999999999984,-0.10000000000000142,2.0169999999999977,3.360999999999999,4.401999999999999,0.5569999999999986,0.030999999999998806,3.491999999999999,4.5329999999999995,-0.5259999999999998,0.11599999999999966,1.5909999999999993,2.9350000000000005,3.976000000000001,0.6419999999999995,2.116999999999999,3.4610000000000003,4.502000000000001,2.819000000000001,3.860000000000001,1.3440000000000012,2.3850000000000016,1.0410000000000004,GALAXY
3,GALAXY,7.4371094,0.1697569,16.746,16.247,15.787,14.681,,GALAXY,18.099,15.831,15.671,1.3530000000000015,1.8520000000000003,2.2680000000000007,2.428000000000001,2.3119999999999994,3.418000000000001,5.048,6.134,0.4989999999999988,0.9149999999999991,1.0749999999999993,2.0649999999999995,3.6949999999999985,4.780999999999999,0.41600000000000037,0.5760000000000005,3.1959999999999997,4.282,0.16000000000000014,0.04399999999999871,1.1500000000000004,2.7799999999999994,3.8659999999999997,-0.11600000000000144,0.9900000000000002,2.619999999999999,3.7059999999999995,2.7360000000000007,3.822000000000001,1.629999999999999,2.7159999999999993,1.0860000000000003,GALAXY
4,GALAXY,9.209969,0.0340172,17.834,17.65,16.737,15.243,,GALAXY,18.239,17.02,17.293,0.40500000000000114,0.5890000000000022,1.2190000000000012,0.9460000000000015,1.5020000000000024,2.9960000000000004,4.58,5.409000000000001,0.18400000000000105,0.8140000000000001,0.5410000000000004,2.5909999999999993,4.174999999999999,5.004,0.629999999999999,0.3569999999999993,3.990999999999998,4.8199999999999985,-0.2729999999999997,0.28300000000000125,1.7769999999999992,3.360999999999999,4.1899999999999995,0.5560000000000009,2.049999999999999,3.6339999999999986,4.462999999999999,3.0779999999999976,3.9069999999999983,1.5839999999999996,2.4130000000000003,0.8290000000000006,GALAXY
5,GALAXY,10.1137928,-1.1568682,20.867,19.691,,16.436,,absGAL,21.354,19.269,19.028,0.4869999999999983,1.6630000000000003,2.085000000000001,2.3260000000000005,,4.917999999999999,6.221,7.571999999999999,1.176000000000002,1.5980000000000025,1.8390000000000022,4.431000000000001,5.734000000000002,7.085000000000001,0.4220000000000006,0.6630000000000003,4.558,5.908999999999999,0.24099999999999966,,2.8329999999999984,4.135999999999999,5.486999999999998,,2.5919999999999987,3.8949999999999996,5.245999999999999,,,1.3030000000000008,2.654,1.350999999999999,absGAL
6,GALAXY,13.8644265,-0.3634987,18.417,18.074,17.119,15.685,,GALAXY,18.812,17.918,18.254,0.3949999999999996,0.7379999999999995,0.8940000000000019,0.5579999999999998,1.6930000000000014,3.1270000000000007,4.460000000000001,5.873000000000001,0.34299999999999997,0.49900000000000233,0.16300000000000026,2.732000000000001,4.065000000000001,5.4780000000000015,0.15600000000000236,-0.17999999999999972,3.7220000000000013,5.135000000000002,-0.3360000000000021,0.7989999999999995,2.2329999999999988,3.565999999999999,4.978999999999999,1.1350000000000016,2.569000000000001,3.902000000000001,5.315000000000001,2.7669999999999995,4.18,1.3330000000000002,2.7460000000000004,1.4130000000000003,GALAXY
7,GALAXY,13.8701206,0.581295,16.8,16.061,15.402,14.023,,GALAXY,18.198,15.626,15.289,1.3979999999999997,2.1370000000000005,2.572000000000001,2.9090000000000007,2.796000000000001,4.175000000000001,5.563000000000001,6.282,0.7390000000000008,1.1740000000000013,1.511000000000001,2.777000000000001,4.165000000000001,4.884,0.4350000000000005,0.7720000000000002,3.426,4.145,0.33699999999999974,0.2240000000000002,1.6029999999999998,2.9909999999999997,3.709999999999999,-0.11299999999999955,1.266,2.654,3.3729999999999993,2.7669999999999995,3.485999999999999,1.388,2.1069999999999993,0.7189999999999994,GALAXY
8,GALAXY,14.6978762,-1.0971498,16.823,16.028,15.13,13.635,,GALAXY,18.556,15.584,15.263,1.7330000000000005,2.5280000000000022,2.9720000000000013,3.293000000000001,3.426,4.921000000000001,6.292000000000002,6.998000000000001,0.7950000000000017,1.2390000000000008,1.5600000000000005,3.1880000000000006,4.559000000000001,5.265000000000001,0.44399999999999906,0.7649999999999988,3.7639999999999993,4.469999999999999,0.32099999999999973,0.45399999999999885,1.9489999999999998,3.3200000000000003,4.026,0.13299999999999912,1.6280000000000001,2.9990000000000006,3.705,2.8660000000000014,3.572000000000001,1.3710000000000004,2.077,0.7059999999999995,GALAXY
9,GALAXY,14.7671922,1.0011812,16.308,16.004,16.131,15.168,,GALAXY,17.279,15.869,15.709,0.9710000000000001,1.2749999999999986,1.4100000000000001,1.5700000000000003,1.1479999999999997,2.1110000000000007,3.971,4.9030000000000005,0.3039999999999985,0.43900000000000006,0.5990000000000002,1.1400000000000006,3.0,3.9320000000000004,0.13500000000000156,0.2950000000000017,2.6960000000000015,3.628000000000002,0.16000000000000014,-0.26200000000000045,0.7010000000000005,2.561,3.4930000000000003,-0.4220000000000006,0.5410000000000004,2.401,3.333,2.8230000000000004,3.755000000000001,1.8599999999999994,2.792,0.9320000000000004,GALAXY
10,GALAXY,15.2653124,-0.1961927,20.368,19.647,19.458,17.797,,GALAXY,20.736,19.996,20.006,0.3680000000000021,1.0890000000000022,0.740000000000002,0.7300000000000004,1.2780000000000022,2.939,4.542000000000002,7.0710000000000015,0.7210000000000001,0.3719999999999999,0.3619999999999983,2.570999999999998,4.1739999999999995,6.702999999999999,-0.3490000000000002,-0.35900000000000176,3.4529999999999994,5.981999999999999,-0.010000000000001563,0.5380000000000003,2.198999999999998,3.8019999999999996,6.3309999999999995,0.5480000000000018,2.2089999999999996,3.812000000000001,6.341000000000001,3.2639999999999993,5.792999999999999,1.6030000000000015,4.1320000000000014,2.529,GALAXY
