,counter,RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,K_mag,W1mag,W2mag,gj,rj,jk,rk,Fpk,Hpk,redshift,specObjID,class,JNAME,W3mag,W4mag,cntr,cc_flags,var_flg,ph_qual,angDist,objID,mode,q_mode,class_x,SDSS12,m_SDSS12,flags,ObsDate,Q,SpObjID,spType,spCl,subClass,data,designation,spectrum,ug,ur,ui,uz,uj,uk,uw1,uw2,gr,gi,gz,gk,gw1,gw2,ri,rz,rw1,rw2,iz,ij,ik,iw1,iw2,zj,zk,zw1,zw2,jw1,jw2,kw1,kw2,w1w2,class_cleaned
15,17.0,00:17:32.34,-00:04:45.3,24.211,23.3359,21.9261,19.854,19.41,19.435913,18.540066,17.72955,17.802277,3.8999869999999994,2.4901870000000024,0.8958469999999998,3.386034000000002,-999.0,-999.0,-999.0,Gemini18B,none,J001732.33-000445.1,12.575,9.006,4.510000124101683e+16,0000,10nn,AAUU,0.135761,1.2376602360344092e+18,2.0,,3.0,J001732.33-000445.1,*,281543964623104.0,2002.8316,3.0,0.0,,,,SpIES,,,0.8750999999999998,2.284899999999997,4.356999999999999,4.800999999999998,4.775086999999999,5.670933999999999,6.481449999999999,6.408722999999998,1.409799999999997,3.4818999999999996,3.9258999999999986,4.795833999999999,5.606349999999999,5.533622999999999,2.0721000000000025,2.5161000000000016,4.196550000000002,4.123823000000002,0.44399999999999906,0.4180869999999999,1.3139339999999997,2.1244499999999995,2.051722999999999,-0.025912999999999187,0.8699340000000007,1.6804500000000004,1.607723,1.7063629999999996,1.6336359999999992,0.8105159999999998,0.7377889999999994,-0.07272700000000043,none
16,18.0,00:17:42.14,+00:37:17.9,25.966,22.6011,22.0745,19.923,19.235,19.735699,18.87875,19.073723,19.142057,2.8654009999999985,2.338801,0.8569490000000002,3.1957500000000003,-999.0,-999.0,-999.0,0,none,J001742.13+003716.9,12.57,8.842,4.5100001241030696e+16,0000,1nnn,ABCU,0.955683,1.2376635270570975e+18,2.0,,3.0,J001742.10+003717.6,,105624251793680.0,2003.809,3.0,0.0,,,,SpIES,,,3.3649000000000022,3.8915000000000006,6.043000000000003,6.731000000000002,6.230301000000001,7.087250000000001,6.892277,6.823943,0.5265999999999984,2.6781000000000006,3.3660999999999994,3.7223499999999987,3.5273769999999978,3.4590429999999976,2.151500000000002,2.839500000000001,3.0007769999999994,2.9324429999999992,0.6879999999999988,0.18730099999999794,1.0442499999999981,0.8492769999999972,0.7809429999999971,-0.5006990000000009,0.3562499999999993,0.16127699999999834,0.09294299999999822,0.6619759999999992,0.5936419999999991,-0.19497300000000095,-0.26330700000000107,-0.06833400000000012,none
17,19.0,00:17:48.72,-00:14:51.5,23.675,22.6335,21.3365,20.567,20.098,19.661568,18.533945,18.027304,18.096281,2.9719320000000025,1.6749320000000019,1.1276229999999998,2.8025550000000017,-999.0,-999.0,-999.0,0,none,J001748.70-001451.0,12.44,8.336,4.51000012410096e+16,0000,00nn,AAUU,0.455354,1.2376632768559846e+18,2.0,,3.0,J001748.71-001451.4,*,251524022528.0,2003.7408,3.0,0.0,,,,SpIES,,,1.0414999999999992,2.3385,3.1080000000000005,3.5770000000000017,4.013432000000002,5.1410550000000015,5.647696,5.5787189999999995,1.2970000000000006,2.0665000000000013,2.5355000000000025,4.099555000000002,4.606196000000001,4.537219,0.7695000000000007,1.238500000000002,3.309196,3.2402189999999997,0.4690000000000012,0.9054320000000011,2.033055000000001,2.5396959999999993,2.470718999999999,0.43643199999999993,1.5640549999999998,2.070695999999998,2.001718999999998,1.6342639999999982,1.5652869999999979,0.5066409999999983,0.43766399999999805,-0.06897700000000029,none
18,20.0,00:17:55.84,+00:50:47.5,23.071,23.1346,21.6043,20.543,20.12,19.58175,18.624626,19.282793,19.323788,3.5528499999999994,2.022549999999999,0.9571240000000003,2.9796739999999993,-999.0,-999.0,999.0,NIRES080418_0922,?,J001755.92+005047.3,12.573,8.751,4.510150124100315e+16,0000,0nnn,ABUU,1.234751,1.2376600271900513e+18,2.0,,3.0,J001755.87+005047.4,,68987912192.0,2002.7771,3.0,0.0,,,,SpIES,,,-0.06359999999999744,1.466700000000003,2.5280000000000022,2.9510000000000005,3.489250000000002,4.446374000000002,3.788207,3.747212000000001,1.5303000000000004,2.5915999999999997,3.014599999999998,4.509974,3.8518069999999973,3.8108119999999985,1.0612999999999992,1.4842999999999975,2.321506999999997,2.280511999999998,0.42299999999999827,0.9612499999999997,1.918374,1.2602069999999976,1.2192119999999989,0.5382500000000014,1.4953740000000018,0.8372069999999994,0.7962120000000006,0.2989569999999979,0.25796199999999914,-0.6581670000000024,-0.6991620000000012,-0.04099499999999878,?
19,21.0,00:19:49.63,+00:41:16.5,22.103,21.9286,21.0621,20.168,19.939,19.548784,18.11601,16.779903,16.25257,2.379815999999998,1.5133159999999997,1.432774000000002,2.9460900000000017,-999.0,-999.0,-999.0,0,none,J001949.62+004116.8,9.882,7.426,4.510000124102891e+16,0000,111n,AAAB,0.313161,1.2376635442350659e+18,2.0,,3.0,J001949.62+004116.8,*,217164284160.0,2003.8118,3.0,0.0,,,,SpIES,,,0.1744000000000021,1.0409000000000006,1.9350000000000023,2.1640000000000015,2.5542160000000003,3.9869900000000023,5.323097000000001,5.850430000000003,0.8664999999999985,1.7606000000000002,1.9895999999999994,3.81259,5.1486969999999985,5.676030000000001,0.8941000000000017,1.1231000000000009,4.282197,4.809530000000002,0.2289999999999992,0.619215999999998,2.05199,3.3880969999999984,3.9154300000000006,0.3902159999999988,1.8229900000000008,3.159096999999999,3.6864300000000014,2.7688810000000004,3.2962140000000026,1.3361069999999984,1.8634400000000007,0.5273330000000023,none
20,22.0,00:19:53.94,+00:32:02.7,24.304,23.6121,21.4346,20.444,19.556,19.424898,18.715292,18.622532,18.253471,4.187202000000003,2.0097020000000008,0.7096059999999973,2.719307999999998,-999.0,-999.0,-999.0,0,none,J001953.89+003203.4,11.286,8.969,4.510000124102902e+16,0000,00nn,AABC,0.982332,1.237667173465195e+18,2.0,,6.0,J001953.93+003202.6,*,35253360001296.0,2004.9504,3.0,0.0,,,,SpIES,,,0.6918999999999969,2.869399999999999,3.8599999999999994,4.7479999999999976,4.879102,5.588707999999997,5.681467999999999,6.050528999999997,2.177500000000002,3.1681000000000026,4.056100000000001,4.896808,4.989568000000002,5.3586290000000005,0.9906000000000006,1.8785999999999987,2.812068,3.1811289999999985,0.8879999999999981,1.0191020000000002,1.7287079999999975,1.8214679999999994,2.190528999999998,0.13110200000000205,0.8407079999999993,0.9334680000000013,1.3025289999999998,0.8023659999999992,1.1714269999999978,0.09276000000000195,0.4618210000000005,0.36906099999999853,none
21,23.0,00:20:54.03,+00:13:31.0,23.329,23.2039,21.5391,20.817,20.527,19.671373,18.602667,19.037373,18.97446,3.5325270000000017,1.8677270000000021,1.0687059999999988,2.936433000000001,-999.0,-999.0,999.0,NIRES080418_0922,?,J002054.03+001331.3,12.082,8.96,4.51000012410264e+16,0000,0nnn,ABUU,0.384108,1.2376637412495204e+18,2.0,,3.0,J002054.02+001331.1,,281543964623104.0,2003.8827,3.0,0.0,,,,SpIES,,,0.12509999999999977,1.7898999999999994,2.5120000000000005,2.8019999999999996,3.6576270000000015,4.726333,4.291627000000002,4.35454,1.6647999999999996,2.3869000000000007,2.6769,4.601233000000001,4.166527000000002,4.22944,0.7221000000000011,1.0121000000000002,2.5017270000000025,2.5646400000000007,0.28999999999999915,1.145627000000001,2.214333,1.7796270000000014,1.8425399999999996,0.8556270000000019,1.9243330000000007,1.4896270000000023,1.5525400000000005,0.6340000000000003,0.6969129999999986,-0.4347059999999985,-0.37179300000000026,0.06291299999999822,?
22,24.0,00:21:17.54,+00:15:05.4,25.884,23.0772,21.445,20.574,19.972,19.897892,18.766512,17.920576,17.905872,3.1793080000000025,1.5471080000000015,1.13138,2.6784880000000015,-999.0,-999.0,-999.0,0,none,J002117.53+001505.7,11.879,8.671,6.01000012410221e+16,0000,11nn,AABC,0.350585,1.2376568521228948e+18,2.0,,3.0,J002117.53+001505.7,*,176027355710296.0,2001.786,3.0,0.0,,,,SpIES,,,2.806799999999999,4.439,5.309999999999999,5.911999999999999,5.9861080000000015,7.117488000000002,7.963424,7.978128000000002,1.632200000000001,2.5031999999999996,3.1052,4.3106880000000025,5.156624000000001,5.171328000000003,0.8709999999999987,1.472999999999999,3.524424,3.5391280000000016,0.6020000000000003,0.6761080000000028,1.8074880000000029,2.653424000000001,2.668128000000003,0.0741080000000025,1.2054880000000026,2.051424000000001,2.0661280000000026,1.9773159999999983,1.9920200000000001,0.8459359999999982,0.8606400000000001,0.014704000000001827,none
23,25.0,00:21:32.72,+00:43:38.3,23.933,22.6211,21.2211,20.294,19.627,19.563522,18.48406,17.640324,17.274273,3.0575779999999995,1.6575780000000009,1.0794619999999995,2.7370400000000004,-999.0,-999.0,-999.0,0,none,J002132.71+004338.4,11.171,8.496,6.010000124103546e+16,0000,00nn,AABB,0.110076,1.237666499150742e+18,2.0,,3.0,J002132.71+004338.4,,103347785984.0,2004.7921,1.0,0.0,,,,SpIES,,,1.3119000000000014,2.7119,3.6389999999999993,4.306000000000001,4.369478000000001,5.44894,6.292676,6.658726999999999,1.3999999999999986,2.327099999999998,2.9940999999999995,4.137039999999999,4.980775999999999,5.3468269999999976,0.9270999999999994,1.594100000000001,3.580776,3.946826999999999,0.6670000000000016,0.7304780000000015,1.809940000000001,2.653676000000001,3.0197269999999996,0.06347799999999992,1.1429399999999994,1.9866759999999992,2.352726999999998,1.9231979999999993,2.289248999999998,0.8437359999999998,1.2097869999999986,0.3660509999999988,none
24,26.0,00:21:42.95,-00:06:07.2,22.953,22.9102,21.4839,20.788,20.466,19.832794,18.693705,18.775902,18.722273,3.077406,1.6511059999999986,1.1390889999999985,2.790194999999997,-999.0,-999.0,2.1,NIRES092318,QSO,J002142.95-000607.1,11.653,8.792,6.010000124102078e+16,0000,0nnn,ABBU,0.146859,1.237645877947663e+18,2.0,,3.0,J002142.96-000607.1,*,281543964623104.0,1998.7169,3.0,0.0,,,,SpIES,,,0.04279999999999973,1.469100000000001,2.164999999999999,2.4869999999999983,3.1202059999999996,4.259294999999998,4.177098000000001,4.230726999999998,1.4263000000000012,2.1221999999999994,2.4441999999999986,4.216494999999998,4.134298000000001,4.187926999999998,0.6958999999999982,1.0178999999999974,2.707998,2.761626999999997,0.3219999999999992,0.9552060000000004,2.094294999999999,2.0120980000000017,2.065726999999999,0.6332060000000013,1.7722949999999997,1.6900980000000025,1.7437269999999998,1.0568920000000013,1.1105209999999985,-0.08219699999999719,-0.028567999999999927,0.05362899999999726,QSO
25,27.0,00:22:24.45,+00:52:00.9,23.595,23.1784,21.6555,21.018,20.155,19.605831,18.59778,19.033134,18.982973,3.5725690000000014,2.0496690000000015,1.0080509999999983,3.0577199999999998,-999.0,-999.0,-999.0,0,none,J002224.45+005201.4,12.044,8.644,6.010150124100488e+16,0000,0nnn,ABBU,0.597334,1.2376599069341786e+18,2.0,,3.0,J002224.45+005200.9,*,2279352566088.0,2002.7607,3.0,0.0,,,,SpIES,,,0.41659999999999897,1.939499999999999,2.576999999999998,3.4399999999999977,3.9891690000000004,4.997219999999999,4.561865999999998,4.612026999999998,1.5229,2.160399999999999,3.0233999999999988,4.58062,4.1452659999999995,4.195426999999999,0.6374999999999993,1.5004999999999988,2.6223659999999995,2.6725269999999988,0.8629999999999995,1.4121690000000022,2.4202200000000005,1.9848660000000002,2.0350269999999995,0.5491690000000027,1.557220000000001,1.1218660000000007,1.172027,0.572696999999998,0.6228579999999972,-0.43535400000000024,-0.385193000000001,0.050160999999999234,none
26,28.0,00:22:45.11,+00:25:00.8,23.239,22.4254,21.3845,20.259,19.77,19.575296,18.56883,17.666836,17.54623,2.850103999999998,1.8092039999999976,1.0064660000000032,2.815670000000001,-999.0,-999.0,-999.0,0,none,J002245.11+002500.7,10.999,8.793,6.01000012410236e+16,0000,111n,AABC,0.149839,1.2376632043797878e+18,2.0,,3.0,J002245.11+002500.8,*,68987912448.0,2003.7353,3.0,0.0,,,,SpIES,,,0.813600000000001,1.8545000000000016,2.9800000000000004,3.469000000000001,3.663703999999999,4.670170000000002,5.572164000000001,5.692769999999999,1.0409000000000006,2.1663999999999994,2.6554,3.8565700000000014,4.758564,4.8791699999999985,1.1254999999999988,1.6144999999999996,3.717663999999999,3.838269999999998,0.48900000000000077,0.6837039999999988,1.690170000000002,2.5921640000000004,2.712769999999999,0.194703999999998,1.2011700000000012,2.1031639999999996,2.2237699999999982,1.9084600000000016,2.0290660000000003,0.9019939999999984,1.022599999999997,0.12060599999999866,none
27,29.0,00:23:11.67,+00:38:13.7,24.445,23.3677,21.8579,20.546,19.796,19.786095,18.42485,18.676977,18.7132,3.5816049999999997,2.0718050000000012,1.3612450000000003,3.4330500000000015,-999.0,-999.0,-999.0,Gemini18B,none,J002311.67+003813.9,12.398,8.636,6.010000124103416e+16,0000,0nnn,ABCU,0.236006,1.237663505580098e+18,2.0,,3.0,J002311.68+003813.8,*,217164284160.0,2003.8063,3.0,0.0,,,,SpIES,,,1.077300000000001,2.5870999999999995,3.899000000000001,4.649000000000001,4.658905000000001,6.020150000000001,5.7680229999999995,5.7318,1.5097999999999985,2.8217,3.5717,4.94285,4.690722999999998,4.654499999999999,1.3119000000000014,2.0619000000000014,3.180923,3.1447000000000003,0.75,0.7599049999999998,2.12115,1.8690229999999985,1.8327999999999989,0.00990499999999983,1.37115,1.1190229999999985,1.0827999999999989,1.1091179999999987,1.072894999999999,-0.25212700000000154,-0.2883500000000012,-0.03622299999999967,none
28,30.0,00:23:23.35,+00:50:05.3,25.029,23.0183,21.3112,20.537,20.141,19.609398,18.706873,19.053808,19.138788,3.408902000000001,1.7018020000000007,0.9025249999999971,2.604326999999998,-999.0,-999.0,-999.0,0,none,J002323.37+005005.7,12.23,9.027,6.010150124100481e+16,0000,0nnn,ABCU,0.541437,1.2376664991509384e+18,2.0,,3.0,J002323.35+005005.4,*,35253360132368.0,2004.7922,1.0,0.0,,,,SpIES,,,2.0107,3.7178000000000004,4.492000000000001,4.888000000000002,5.419602000000001,6.322126999999998,5.975192,5.890211999999998,1.7071000000000005,2.481300000000001,2.8773000000000017,4.311426999999998,3.964492,3.8795119999999983,0.7742000000000004,1.1702000000000012,2.2573919999999994,2.172411999999998,0.3960000000000008,0.9276020000000003,1.8301269999999974,1.483191999999999,1.3982119999999973,0.5316019999999995,1.4341269999999966,1.0871919999999982,1.0022119999999966,0.5555899999999987,0.4706099999999971,-0.34693499999999844,-0.43191500000000005,-0.08498000000000161,none
29,31.0,00:24:03.57,-00:04:21.8,24.425,22.7103,21.4831,20.774,20.071,19.942816,18.641287,19.234577,18.920824,2.7674839999999996,1.5402839999999998,1.3015290000000022,2.841813000000002,-999.0,-999.0,999.0,NIRES080418_0923,?,J002403.58-000421.7,11.735,8.926,6.010000124101746e+16,0000,0nnn,ABBU,0.199281,1.2376635431617825e+18,2.0,,3.0,J002403.58-000421.9,,35191082975504.0,2003.8118,3.0,0.0,,,,SpIES,,,1.7147000000000006,2.9419000000000004,3.651,4.353999999999999,4.482184,5.783713000000002,5.190422999999999,5.504176000000001,1.2271999999999998,1.9362999999999992,2.6392999999999986,4.069013000000002,3.4757229999999986,3.7894760000000005,0.7090999999999994,1.4120999999999988,2.2485229999999987,2.5622760000000007,0.7029999999999994,0.8311840000000004,2.1327130000000025,1.5394229999999993,1.8531760000000013,0.12818400000000096,1.4297130000000031,0.8364229999999999,1.1501760000000019,0.708238999999999,1.021992000000001,-0.5932900000000032,-0.27953700000000126,0.31375300000000195,?
30,32.0,00:24:58.30,+00:30:00.1,25.858,23.4141,22.1628,21.427,21.193,19.716919,18.792313,18.128263,17.662277,3.6971810000000005,2.445881,0.9246060000000007,3.3704870000000007,-999.0,-999.0,-999.0,0,none,J002458.31+003000.3,11.463,8.286,6.010000124103107e+16,0000,11nn,AABB,0.338112,1.237646012159624e+18,2.0,,6.0,J002458.30+003000.4,,281543964623104.0,1998.7332,3.0,0.0,,,,SpIES,,,2.4438999999999993,3.6952,4.431000000000001,4.664999999999999,6.141081,7.0656870000000005,7.729737,8.195723000000001,1.2513000000000005,1.9871000000000016,2.2211,4.621787000000001,5.285837000000001,5.751823000000002,0.7358000000000011,0.9697999999999993,4.034537,4.500523000000001,0.2339999999999982,1.7100809999999989,2.6346869999999996,3.298736999999999,3.764723,1.4760810000000006,2.4006870000000013,3.064737000000001,3.530723000000002,1.5886560000000003,2.054642000000001,0.6640499999999996,1.1300360000000005,0.4659860000000009,none
